age_head,sex_head,edu_group,marital_head,household_size,urban,region,consumption_pc,consumption_per_member,nonfood_share,welfare_ratio,age_group,hh_size_group,education_head,target,welfare_pc,hpline,spline,wgt
15.0,1.0,0,,2.0,0.0,3,5585.3046875,67023.65625,1.0,3.155650847128443,0.0,0.0,1.0,2,96599.0703125,30611.45703125,41684.78515625,2621.86344911658
15.0,0.0,0,,11.0,0.0,1,16881.136363636364,202573.63636363635,1.0,8.742053660719607,0.0,3.0,1.0,2,267607.0,30611.45703125,42584.00390625,2525.37569239267
15.0,1.0,0,,8.0,0.0,4,4622.026041666667,55464.3125,1.0,2.4222466746455353,0.0,2.0,1.0,2,74148.5,30611.45703125,40558.76171875,910.868272918113
15.0,1.0,0,,1.0,0.0,2,4208.9267578125,50507.12109375,1.0,2.132258614874716,0.0,0.0,1.0,2,65271.54296875,30611.45703125,41245.17578125,888.204708946794
15.0,1.0,0,,2.0,0.0,2,2486.9303385416665,29843.1640625,1.0,1.096236945598264,0.0,0.0,1.0,1,33557.41015625,30611.45703125,41245.17578125,4441.02384888269
15.0,0.0,0,,6.0,1.0,1,24917.715277777777,299012.5833333333,1.0,10.0,0.0,2.0,1.0,2,351432.6875,30611.45703125,46233.65234375,1903.16900375628
15.0,1.0,0,,6.0,0.0,1,5145.243489583333,61742.921875,1.0,2.492056372377938,0.0,2.0,1.0,2,76285.4765625,30611.45703125,42584.00390625,5050.7517200389
15.0,0.0,0,,1.0,0.0,2,4590.485677083333,55085.828125,1.0,1.8135413964313045,0.0,0.0,1.0,2,55515.14453125,30611.45703125,41245.17578125,8882.04769776538
15.0,0.0,0,,3.0,1.0,1,8851.366319444445,106216.39583333333,1.0,4.2457038080487886,0.0,1.0,1.0,2,129967.1796875,30611.45703125,46233.65234375,1952.53779987248
15.0,0.0,0,,4.0,0.0,4,7260.650390625,87127.8046875,1.0,3.8550506965261295,0.0,1.0,1.0,2,118008.71875,30611.45703125,40558.76171875,4554.34151612507
15.0,0.0,0,,1.0,0.0,3,3269.1692708333335,39230.03125,1.0,1.2915351725054944,0.0,0.0,1.0,1,39535.7734375,30611.45703125,41684.78515625,524.372749416039
15.0,1.0,0,,3.0,0.0,1,4868.979600694444,58427.755208333336,1.0,2.2615991025623194,0.0,1.0,1.0,2,69230.84375,30611.45703125,42584.00390625,1122.38934562055
15.0,0.0,0,,3.0,0.0,2,37238.819444444445,446865.8333333333,1.0,10.0,0.0,1.0,1.0,2,522453.21875,30611.45703125,41245.17578125,986.894154846295
15.0,0.0,0,,3.0,0.0,4,8541.258680555555,102495.10416666667,1.0,3.6776998195503037,0.0,1.0,1.0,2,112579.75,30611.45703125,40558.76171875,9108.68303225013
15.0,0.0,0,,9.0,1.0,3,2281.9700520833335,27383.640625,1.0,1.0993674115836685,0.0,3.0,1.0,1,33653.23828125,30611.45703125,43537.83203125,836.816160348861
15.0,0.0,0,,1.0,1.0,3,6373.41015625,76480.921875,1.0,2.517912959723388,0.0,0.0,1.0,2,77076.984375,30611.45703125,43537.83203125,1882.83642765254
15.0,1.0,0,,7.0,0.0,2,2049.9918154761904,24599.901785714286,1.0,1.120686277975222,0.0,2.0,1.0,1,34305.83984375,30611.45703125,41245.17578125,740.170600927286
15.0,0.0,0,,5.0,1.0,2,4969.719791666666,59636.6375,1.0,2.4140422811975655,0.0,1.0,1.0,2,73897.3515625,30611.45703125,44187.7421875,986.894154846295
15.0,1.0,0,,5.0,0.0,1,4736.934895833333,56843.21875,1.0,2.307753696692147,0.0,1.0,1.0,2,70643.703125,30611.45703125,42584.00390625,918.318578365917
15.0,1.0,0,,4.0,1.0,1,15416.997395833334,185003.96875,1.0,7.663002503785794,0.0,1.0,1.0,2,234575.671875,30611.45703125,46233.65234375,7810.1511994899
15.0,1.0,0,,2.0,1.0,4,17882.045572916668,214584.546875,1.0,7.503149160476961,0.0,0.0,1.0,2,229682.328125,30611.45703125,43190.125,1038.04436050736
15.0,0.0,0,,4.0,1.0,3,8902.037109375,106824.4453125,1.0,3.8487088614314517,0.0,1.0,1.0,2,117814.5859375,30611.45703125,43537.83203125,941.418213826268
15.0,1.0,0,,5.0,0.0,3,3407.356510416667,40888.278125,1.0,1.5057584776329023,0.0,1.0,1.0,2,46093.4609375,30611.45703125,41684.78515625,1747.90906539893
15.0,0.0,0,,5.0,1.0,4,13793.244791666666,165518.9375,1.0,6.206201645549123,0.0,1.0,1.0,2,189980.875,30611.45703125,43190.125,1482.92051501051
15.0,1.0,0,,2.0,0.0,1,5655.305338541667,67863.6640625,1.0,2.3729164414926855,0.0,0.0,1.0,2,72638.4296875,30611.45703125,42584.00390625,10101.5034400778
15.0,0.0,0,,1.0,1.0,1,9839.981770833334,118079.78125,1.0,3.887434915414763,0.0,0.0,1.0,2,119000.046875,30611.45703125,46233.65234375,3905.07534053791
15.0,0.0,0,,3.0,1.0,1,33244.225694444445,398930.7083333333,1.0,10.0,0.0,1.0,1.0,2,418341.78125,30611.45703125,46233.65234375,3806.33800751256
15.0,0.0,0,,4.0,0.0,4,3934.7014973958335,47216.41796875,1.0,2.2707470255022213,0.0,1.0,1.0,2,69510.875,30611.45703125,40558.76171875,910.868348685363
15.0,0.0,0,,5.0,0.0,3,7969.285416666667,95631.425,1.0,3.640959337502949,0.0,1.0,1.0,2,111455.0703125,30611.45703125,41684.78515625,582.636404793577
15.0,1.0,0,,1.0,0.0,1,58381.75,700581.0,1.0,10.0,0.0,0.0,1.0,2,811139.3125,30611.45703125,42584.00390625,10101.5034400778
15.0,0.0,0,,7.0,0.0,2,11098.511160714286,133182.13392857142,1.0,6.313987575883366,0.0,2.0,1.0,2,193280.359375,30611.45703125,41245.17578125,807.458942444778
15.0,0.0,0,,2.0,0.0,3,5593.712239583333,67124.546875,1.0,2.3495035368319126,0.0,0.0,1.0,2,71921.7265625,30611.45703125,41684.78515625,5243.72689823317
